frames since last update;coins collected;deaths;levels beaten;score gathered;move count (no action, left, right, jump);!world name
909;7;10;1;100;[91, 108, 580, 129];levels/training_545.txt
91;3;2;0;0;[15, 4, 55, 17];levels/training_308.txt
172;4;4;1;115;[23, 15, 99, 34];levels/training_491.txt
444;6;4;1;105;[64, 37, 283, 59];levels/training_936.txt
108;4;0;1;120;[14, 8, 71, 14];levels/training_896.txt
276;2;12;0;0;[33, 30, 177, 36];levels/training_3.txt
188;0;4;1;100;[19, 14, 124, 30];levels/training_873.txt
276;8;5;1;120;[39, 35, 162, 39];levels/training_835.txt
114;6;0;1;130;[12, 13, 67, 21];levels/training_737.txt
311;4;4;1;110;[73, 37, 157, 43];levels/training_956.txt
111;4;1;0;20;[11, 12, 72, 16];levels/training_244.txt
187;6;1;1;120;[18, 27, 109, 32];levels/training_190.txt
199;6;2;1;110;[14, 13, 135, 36];levels/training_1_175.txt
159;2;7;1;105;[16, 22, 96, 24];levels/training_354.txt
190;7;2;1;115;[22, 25, 111, 31];levels/training_110.txt
265;5;0;0;25;[111, 25, 100, 29];levels/training_755.txt
1000;4;3;0;0;[424, 106, 377, 93];levels/training_661.txt
865;6;10;1;105;[90, 92, 543, 139];levels/training_1_85.txt
135;2;0;0;10;[17, 13, 86, 19];levels/training_137.txt
457;9;5;1;115;[44, 62, 298, 52];levels/training_363.txt
118;4;1;1;120;[11, 10, 81, 15];levels/training_430.txt
425;7;10;0;10;[54, 41, 267, 63];levels/training_1_100.txt
81;0;0;1;100;[9, 7, 54, 10];levels/training_622.txt
220;4;3;1;115;[21, 15, 156, 27];levels/training_792.txt
699;9;2;0;35;[66, 64, 488, 81];levels/training_340.txt
216;4;1;1;110;[20, 24, 136, 35];levels/training_462.txt
784;9;12;0;0;[86, 72, 469, 157];levels/training_1_188.txt
1000;2;14;0;0;[92, 90, 643, 175];levels/training_659.txt
269;6;3;1;110;[27, 21, 162, 58];levels/training_1_157.txt
190;3;0;1;115;[13, 15, 141, 20];levels/training_286.txt
541;2;12;0;0;[66, 58, 291, 126];levels/training_1_96.txt
419;8;11;1;105;[41, 39, 278, 60];levels/training_421.txt
121;6;0;1;130;[7, 10, 76, 27];levels/training_1_184.txt
318;2;2;1;100;[39, 38, 193, 47];levels/training_1_197.txt
142;3;3;0;0;[11, 9, 100, 22];levels/training_894.txt
753;2;28;1;105;[87, 74, 467, 124];levels/training_122.txt
247;2;1;0;10;[30, 26, 171, 20];levels/training_516.txt
